#Source Name                       RA                 DEC
[VRI2012]_Toothbrush           06h03m09.2400s     +42d15m46.080s    90.7885 42.2628
A2667                         23h51m40.7s        -26d05m01s         357.919583333 -26.0836111111
A1682                         13h06m54.7s        +46d33m22s         196.727916667 46.5561111111
A2219                         16h40m21.4s        +46d42m21s         250.089166667 46.7058333333
RXC_J1234.2+0947               12h34m21.9s         +09d47m02s         188.59125 9.78388888889
A141                          01h05m34.8s        -24d39m17s         16.395 -24.6547222222
A2146                         15h56m08.9s        +66d21m21s         239.037083333 66.3558333333
A746                          09h09m37s          +51d32.8m          137.404166667 51.5466666667
A2390                         21h53m35.5s        +17d41m12s         328.397916667 17.6866666667
A33                           00h27m07s          -19d30.4m          6.77916666667 -19.5066666667
RX_J2129.6+0005                21h29m40.5s         +00d05m47s         322.41875 0.0963888888889
AS780                         14h59m29.3s        -18d11m13s         224.872083333 -18.1869444444
A521                          04h54m09.1s        -10d14m19s         73.5379166667 -10.2386111111
RXC_J2351.0–1954               23h51m04.9s         -19d54m48s         357.770416667 -19.9133333333
A3444                         10h23m50.8s        -27d15m31s         155.961666667 -27.2586111111
A1835                         14h01m02.3s        +02d52m48s         210.259583333 2.88
A1550                         12h29m12s          +47d42.4m          187.3 47.7066666667
ZwCl_1454.8+2233              14h57m15.2s         +22d20m30s          224.313333333 22.3416666667
PSZ1_G139.61+24.20             06h22m13.9s         +74d41m39s         95.5579166667 74.6941666667
A1443                         12h01m27s          +23d05.3m          180.3625 23.0883333333
PSZ1_G171.96–40.64             03h12m55.4s         +08d22m48s         48.2308333333 8.38
ZwCl_2341.1+0000               23h43m40.566s      +00d18m18.94s       355.919025 0.305261111111
A1758N                        13h32m44.8s        +50d32m24s         203.186666667 50.54
A1758S                        13h32m30.2s        +50d24m32s         203.125833333 50.4088888889
A697                          08h42m56.7s        +36d21m45s         130.73625 36.3625
ZwCl_1021.0+0426               10h23m39.0s         +04d11m14s         155.9125 4.18722222222
RXC_J1501.3+4220               15h01m20.6251s     +42d20m47.148s      225.335937917 42.34643
Bullet_cluster                06h58m31.1s        -55d56m49s         104.629583333 -55.9469444444
A781                          09h20m23s          +30d26.3m          140.095833333 30.4383333333
