G000.44-41.83	316.0445	-41.3258
G002.74-56.18	334.6783	-38.8983
G003.90-59.41	338.6104	-37.7574
G006.70-35.54	308.6895	-35.8134
G006.78+30.46	243.9561	-6.1407
G008.44-56.35	334.4549	-35.7341
G008.93-81.23	3.5674	-30.3877
G021.09+33.25	248.1841	5.5824
G036.72+14.92	271.1387	10.0332
G039.85-39.98	321.7650	-12.1713
G042.82+56.61	230.6179	27.6992
G046.08+27.18	262.9193	22.8536
G046.50-49.43	332.5642	-12.1562
G049.20+30.86	260.0322	26.6097
G049.33+44.38	245.1313	29.9005
G049.66-49.50	333.6369	-10.3911
G053.52+59.54	227.5392	33.4839
G055.60+31.86	260.6166	32.1412
G055.97-34.88	323.8202	1.4304
G056.81+36.31	255.6853	34.0779
G056.96-55.07	340.8305	-9.5753
G057.26-45.35	332.9334	-3.8260
G058.28+18.59	276.2868	30.4312
G062.42-46.41	335.9599	-1.6163
G067.23+67.46	216.4981	37.8353
G071.61+29.79	266.8136	45.1728
G072.63+41.46	250.1030	46.7131
G072.80-18.72	320.5911	23.2021
G073.96-27.82	328.4074	17.6910
G080.38-33.20	336.4906	17.3929
G080.99-50.90	347.8742	3.6487
G083.28-31.03	337.1114	20.6171
G085.99+26.71	274.9620	57.1791
G086.45+15.29	294.5776	54.1454
G092.73+73.46	203.7984	41.0023
G093.91+34.90	258.2575	64.0480
G096.87+24.21	284.0925	66.3722
G097.73+38.11	249.0171	66.2102
G098.95+24.86	283.4595	68.3580
G106.73-83.22	10.8427	-20.6035
G107.11+65.31	203.1806	50.5311
G113.82+44.35	213.5282	71.2866
G124.21-36.48	14.0066	26.3804
G125.70+53.85	189.2369	63.2003
G139.19+56.35	175.5666	58.5412
G149.73+34.69	127.7322	65.8826
G157.43+30.33	117.2096	59.6950
G159.85-73.47	22.9854	-13.5735
G164.18-38.89	44.7239	13.5653
G166.13+43.39	139.4889	51.6946
G167.65+17.64	99.5240	47.8038
G171.94-40.65	48.2301	8.3882
G180.24+21.04	109.3712	37.7604
G182.44-28.29	63.3574	10.4601
G182.63+55.82	154.2325	39.0131
G186.39+37.25	130.7262	36.3395
G195.62+44.05	140.0827	30.4899
G195.77-24.30	73.5501	2.9636
G218.85+35.50	137.2897	10.9578
G225.92-19.99	90.0656	-20.1118
G226.17-21.91	88.2608	-21.0532
G226.24+76.76	178.8058	23.3872
G228.15+75.19	177.3863	22.4031
G228.49+53.12	156.4982	12.7960
G229.21-17.24	94.0732	-21.9253
G229.94+15.29	124.3596	-7.5197
G236.95-26.67	86.8874	-31.8957
G241.74-30.88	83.2315	-37.0205
G241.77-24.00	91.4795	-35.2837
G241.97+14.85	130.4716	-17.4996
G244.34-32.13	82.2295	-39.4405
G244.69+32.49	146.3553	-8.6375
G247.17-23.32	94.1187	-39.8171
G249.87-39.86	72.4526	-44.6518
G250.90-36.25	77.5962	-45.3317
G252.96-56.05	49.5228	-44.2605
G253.47-33.72	81.4727	-47.2451
G256.45-65.71	36.4820	-41.8905
G257.34-22.18	99.3546	-48.4899
G260.03-63.44	38.0642	-44.3761
G262.25-35.36	79.1882	-54.5179
G262.71-40.91	69.6302	-54.3088
G263.16-23.41	99.7414	-53.9887
G263.66-22.53	101.3943	-54.2054
G266.03-21.25	104.6277	-55.9519
G269.31-49.87	52.1774	-55.7201
G271.19-30.96	87.3358	-62.0812
G271.50-56.55	41.4184	-53.0387
G272.10-40.15	67.8329	-61.4194
G277.75-51.73	43.5991	-58.9631
G278.60+39.17	172.9975	-19.9187
G280.19+47.81	177.4482	-12.3212
G282.49+65.17	184.4086	3.6486
G283.16-22.93	111.6990	-71.6216
G284.46+52.43	181.5857	-8.8169
G284.99-23.70	110.8298	-73.4517
G285.63-17.24	131.0152	-71.2059
G286.58-31.25	82.8509	-75.1583
G286.99+32.91	177.7095	-28.0788
G288.61-37.65	58.1576	-74.0050
G292.51+21.98	180.2353	-39.8677
G294.66-37.02	46.0544	-77.8886
G304.67-31.66	354.8031	-85.2222
G304.84-41.42	7.0885	-75.6226
G306.68+61.06	194.6730	-1.7589
G306.80+58.60	194.8791	-4.2111
G308.32-20.23	229.5573	-81.5215
G313.36+61.11	197.8776	-1.3547
G313.87-17.10	240.3543	-75.7587
G318.13-29.57	296.7706	-76.4142
G321.96-47.97	342.4872	-64.4233
G324.49-44.97	334.5419	-65.2113
G332.23-46.36	330.4439	-59.9546
G332.88-19.18	273.1384	-61.4208
G335.59-46.46	328.5425	-57.8539
G336.59-55.44	341.5857	-52.7257
G337.09-25.97	288.5730	-59.5157
G342.31-34.90	305.7904	-55.5991
G347.18-27.35	293.7072	-50.8728
G349.46-59.94	342.1971	-44.5366
